Payer_Org,Member_ID,Member_SSN,Name_First,MI,Name_Last,Mother_Maiden_Name,Title,DOB,Gender,Race,Ethnicity,Marital_Status,Relationship,Job,Address_Line_1,Address_Line_2,City,State,Zip_Code,Home_Phone,Work_Phone,Emergency_Phone,Emergency_Contact,Econtact_Relationship,Advance_Directive,Organ_Donor,Other_Health_Ins,HasAllergy,Blood_Type
TRICARE,725210000-01,725-21-0000,Cleo,M,Sexton,,Ms.,08/21/1976,female,White,Italian,Single,Self,Administrator,7561 Talkeetna Street,,Atlanta,GA,30316,(808) 820-0629,(402) 564-8663,(318) 895-1431,Knox Todd Lawrence,Friend,Intubation,n,no,False,A-
TRICARE,666836691-01,666-83-6691,Wade,R,Rodriquez,,Mr.,04/18/1953,male,White,English,Single,Self,Geographer,1909 East Street,,Atlanta,GA,30377,(850) 891-5699,(240) 451-7731,(702) 720-9897,Yeo Myra Chaney,Friend,Life Support,n,no,False,B+
TRICARE,578007262-01,578-00-7262,Moses,H,Luna,,Mr.,11/21/1950,male,White,Irish,Legally Separated,Self,Boilermaker,6348 Maylen Circle,,Atlanta,GA,31199,(339) 737-2326,(215) 404-0028,(417) 565-1046,Colin Demetrius Spears,Friend,CPR,n,no,False,A+
TRICARE,000266513-01,000-26-6513,Ralph,K,Zimmerman,,Mr.,07/05/1947,male,White,English,Legally Separated,Self,Test Developer,498 George Court,,Atlanta,GA,31131,(903) 803-6962,(650) 608-0111,(308) 440-5147,Camden Steel Sherman,Friend,CPR,n,no,False,O-
TRICARE,931550000-01,931-55-0000,Clayton,S,Brock,,Mr.,08/04/1963,male,Black,African American,Divorced,Self,Nurse,1919 Shoshoni Avenue,,Atlanta,GA,30379,(605) 724-4934,(785) 460-6815,(619) 792-9879,Fletcher Keefe Rios,Friend,Antibiotics,n,no,False,O+
TRICARE,250450000-01,250-45-0000,Warren,U,Maxwell,,Mr.,06/27/1950,male,Black,African American,Divorced,Self,Trainer,9486 Toilsome Hill Drive,,Atlanta,GA,30367,(415) 760-0736,(646) 594-9334,(786) 607-6497,Clark Brenden Le,Friend,Life Support,n,no,False,A+
TRICARE,224590000-01,224-59-0000,Grace,N,Parsons,,Mrs.,11/28/1951,female,Black,African American,Divorced,Self,Egyptologist,7657 Saint Johns Drive,,Atlanta,GA,30389,(856) 571-0501,(262) 384-3327,(586) 265-4116,Uma Adrienne Evans,Friend,Antibiotics,n,no,True,O+
TRICARE,000199767-01,000-19-9767,Alma,L,Deleon,,Mrs.,12/09/1974,female,White,German,Legally Separated,Self,Chief Technology Officer,7367 Platsek Drive,,Atlanta,GA,30314,(712) 294-0289,(646) 679-3970,(914) 754-2242,Barrett Griffin Hancock,Friend,IV Fluid and Support,n,no,False,O+
TRICARE,000171598-01,000-17-1598,Wade,R,Kidd,,Mr.,04/01/1976,male,Black,Mexican,Single,Self,First Mate,7999 Diomede Street,,Atlanta,GA,30336,(802) 502-2188,(641) 844-1187,(309) 217-0480,Guy Abdul Garcia,Friend,IV Fluid and Support,n,no,False,B+
TRICARE,000171598-02,000-95-8551,Ingrid,W,Kidd,,Miss,12/08/1995,female,Black,Mexican,Single,Daughter,Student,7999 Diomede Street,,Atlanta,GA,30336,(802) 502-2188,,(802) 502-2188,Wade Rajah Kidd,Parent,,n,no,False,A+
TRICARE,852001866-01,852-00-1866,Ross,E,Bowen,,Mr.,01/14/1979,male,White,German,Single,Self,Gemologist,6919 East Dimond Boulevard,,Atlanta,GA,30351,(606) 834-9756,(425) 717-2293,(231) 767-6772,Zephania Callum Potts,Friend,Intubation,n,no,False,O-
TRICARE,666987316-01,666-98-7316,Zahir,M,Blankenship,,Mr.,12/22/1960,male,Black,African American,Widowed,Self,Management Consultant,5073 Fairweather Place,,Atlanta,GA,31107,(617) 263-8600,(307) 601-4007,(620) 206-4322,Ralph Merrill Blake,Friend,Resuscitation,n,no,False,A+
