Provider_Org,Provider_ID,Provider_NPI,Facility_Name,Specialty,Name,Class,Location,DOB,Sex,Supervision_Required,Person_ID,Primary_Clinic_Location
ExactData Medical Health System,566082261,2893800280,,OTORHINOLARYNGOLOGY,"Lucy M Miller, MD",PHYSICIAN,Advanced Eye Clinic,04/03/1964,female,no,000188954,Advanced Eye Clinic
ExactData Medical Health System,909345686,2271335107,,EMERGENCY MEDICINE,"Shay I Lucas, MD",PHYSICIAN,Harvey Trauma Center,11/18/1977,female,no,384009137,Harvey Trauma Center
ExactData Medical Health System,387180644,2663431613,,OB/GYN,"Sawyer E Cervantes, MD",PHYSICIAN,Dignity Women's Center,12/23/1941,male,no,000017203,Dignity Women's Center
ExactData Medical Health System,220031422,2840683094,,NEPHROLOGY,"Blair T West, PA-C",PHYSICIAN ASSISTANT,Kidney Center of Excellence,06/04/1970,male,no,534570000,Kidney Center of Excellence
ExactData Medical Health System,841399793,2415748249,,FAMILY PRACTICE/PRIMARY CARE,"Jemima P Petty, NP",NURSE PRACTITIONER,Barrington Family Medicine,04/16/1941,female,no,000938986,Barrington Family Medicine
ExactData Medical Health System,829049641,1055893398,,,Mohammad C Cole,LAB TECH,United Memorial Medical Center,06/27/1973,male,no,666864843,United Memorial Medical Center
ExactData Medical Health System,851134358,1167869708,,EMERGENCY MEDICINE,"Candace C Hood, NP",NURSE PRACTITIONER,Bethune Medical Care,07/01/1948,female,no,000388599,Bethune Medical Care
ExactData Medical Health System,609824127,2428942425,,ORTHOPEDICS,"Shelby I Salas, MD",PHYSICIAN,Delray Medical Center,11/22/1947,female,no,666504449,Delray Medical Center
ExactData Medical Health System,691962481,1387151770,,"THERAPY, PHYSICAL","Abbot B Bowman, PT",PHYSICAL THERAPIST,Community Health Clinic,09/25/1963,male,no,000823198,Community Health Clinic
ExactData Medical Health System,302919792,2139921379,,,"Ezekiel L Mcknight, RPh",PHARMACIST,United Drugs,01/02/1973,male,no,000625924,United Drugs
ExactData Medical Health System,469474224,2585671775,,EMERGENCY MEDICINE,"Deborah R Horne, MD",PHYSICIAN,Xpress Medical Care,06/26/1973,female,no,196002168,Xpress Medical Care
ExactData Medical Health System,132971621,2315464624,,ORTHOPEDICS,"Brady D Small, MD",PHYSICIAN,Huntington Memorial Hospital,07/10/1965,male,no,088008514,Huntington Memorial Hospital
